`elo_diff,is_home_advantage,home_attack_strength,home_defense_strength,away_attack_strength,away_defense_strength,tournament,home_score,away_score,home_team,away_team,date,home_last5_wins,away_last5_wins,home_last5_goals_scored,home_last5_goals_conceded,away_last5_goals_scored,away_last5_goals_conceded
-2.0,0,1.4343537414965986,0.0,1.0,1.4807432432432432,African Cup of Nations,0.0,0.0,Gabon,Tunisia,2010-01-17,2,0,3.0,0.0,2.0,3.0
112.0,1,0.0,0.0,1.0,3.0,King's Cup,1.0,0.0,Thailand,Singapore,2010-01-17,0,0,0.0,0.0,1.0,3.0
31.0,1,2.3696055684454755,1.7296983758700697,0.5223415310010392,1.4329754069968823,African Cup of Nations,0.0,0.0,Angola,Algeria,2010-01-18,1,1,7.0,5.0,1.0,3.0
129.0,0,0.9367834916475598,1.453160825417622,0.9266946345771694,0.6314859792448664,African Cup of Nations,3.0,1.0,Mali,Malawi,2010-01-18,0,1,4.0,6.0,3.0,2.0
-355.0,0,1.321220365332297,1.321220365332297,0.0,0.0,African Cup of Nations,0.0,1.0,Burkina Faso,Ghana,2010-01-19,0,0,0.0,0.0,0.0,0.0
207.0,1,1.321220365332297,1.321220365332297,1.321220365332297,1.321220365332297,Friendly,2.0,1.0,Chile,Panama,2010-01-20,0,0,0.0,0.0,0.0,0.0
372.0,0,2.050221238938053,0.3838495575221239,0.8992742467561029,0.9432592918407742,African Cup of Nations,2.0,0.0,Egypt,Benin,2010-01-20,3,1,6.0,1.0,3.0,3.0
458.0,0,1.0,1.6779336734693877,0.5858414582450191,2.0,African Cup of Nations,3.0,0.0,Nigeria,Mozambique,2010-01-20,1,0,2.0,3.0,2.0,6.0
-232.0,1,2.0,1.0,1.321220365332297,1.321220365332297,Friendly,0.0,1.0,Oman,Sweden,2010-01-20,1,0,2.0,1.0,0.0,0.0
-201.0,1,0.4748405386250885,0.0,1.321220365332297,1.321220365332297,King's Cup,1.0,3.0,Thailand,Poland,2010-01-20,1,0,1.0,0.0,0.0,0.0
-267.0,1,1.7271684258834328,1.819183111519045,4.0,0.0,AFC Asian Cup qualification,3.0,0.0,Yemen,Bahrain,2010-01-20,1,1,5.0,5.0,4.0,0.0
79.0,0,1.9305993690851733,1.3463271744028842,0.6516952884191985,0.964993394980185,African Cup of Nations,2.0,2.0,Cameroon,Tunisia,2010-01-21,2,0,6.0,4.0,2.0,3.0
