Simulation_ID,Hits,Iterations_Per_Simulation,Estimated_Pi,Actual_Pi,Absolute_Error,Percentage_Error_Percent,Start_Time_ms,End_Time_ms,Duration_ms
91,39200,50000,3.136000,3.14159265359,0.00559265,0.178020,1790106607277.504395,1790106607320.118164,42.613760
92,39304,50000,3.144320,3.14159265359,0.00272735,0.086814,1790106607277.504395,1790106607320.118164,42.613760
93,39259,50000,3.140720,3.14159265359,0.00087265,0.027777,1790106607277.504395,1790106607320.118164,42.613760
94,39380,50000,3.150400,3.14159265359,0.00880735,0.280347,1790106607277.504395,1790106607320.118164,42.613760
95,39278,50000,3.142240,3.14159265359,0.00064735,0.020606,1790106607277.504395,1790106607320.118164,42.613760
96,39182,50000,3.134560,3.14159265359,0.00703265,0.223856,1790106607277.504395,1790106607320.134766,42.630144
97,39359,50000,3.148720,3.14159265359,0.00712735,0.226870,1790106607277.504395,1790106607320.134766,42.630144
98,39318,50000,3.145440,3.14159265359,0.00384735,0.122465,1790106607277.504395,1790106607320.134766,42.630144
99,39255,50000,3.140400,3.14159265359,0.00119265,0.037963,1790106607277.504395,1790106607320.134766,42.630144
100,39132,50000,3.130560,3.14159265359,0.01103265,0.351180,1790106607277.504395,1790106607320.134766,42.630144
101,39301,50000,3.144080,3.14159265359,0.00248735,0.079175,1790106607277.504395,1790106607320.134766,42.630144
102,39244,50000,3.139520,3.14159265359,0.00207265,0.065975,1790106607277.504395,1790106607320.134766,42.630144
103,39243,50000,3.139440,3.14159265359,0.00215265,0.068521,1790106607277.504395,1790106607320.134766,42.630144
104,39378,50000,3.150240,3.14159265359,0.00864735,0.275254,1790106607277.504395,1790106607320.134766,42.630144
105,39310,50000,3.144800,3.14159265359,0.00320735,0.102093,1790106607277.504395,1790106607320.134766,42.630144
106,39190,50000,3.135200,3.14159265359,0.00639265,0.203484,1790106607277.504395,1790106607320.134766,42.630144
107,39226,50000,3.138080,3.14159265359,0.00351265,0.111811,1790106607277.504395,1790106607320.134766,42.630144
108,39239,50000,3.139120,3.14159265359,0.00247265,0.078707,1790106607277.504395,1790106607320.134766,42.630144
109,39361,50000,3.148880,3.14159265359,0.00728735,0.231963,1790106607277.504395,1790106607320.134766,42.630144
110,39219,50000,3.137520,3.14159265359,0.00407265,0.129637,1790106607277.504395,1790106607320.134766,42.630144
111,39290,50000,3.143200,3.14159265359,0.00160735,0.051163,1790106607277.504395,1790106607320.134766,42.630144
112,39162,50000,3.132960,3.14159265359,0.00863265,0.274786,1790106607277.504395,1790106607320.134766,42.630144
113,39204,50000,3.136320,3.14159265359,0.00527265,0.167834,1790106607277.504395,1790106607320.134766,42.630144
114,39244,50000,3.139520,3.14159265359,0.00207265,0.065975,1790106607277.504395,1790106607320.134766,42.630144
115,39268,50000,3.141440,3.14159265359,0.00015265,0.004859,1790106607277.504395,1790106607320.134766,42.630144
116,39258,50000,3.140640,3.14159265359,0.00095265,0.030324,1790106607277.504395,1790106607320.134766,42.630144
