date,home_team,away_team,home_score,away_score,tournament,winner,venue,home_team_elo,away_team_elo
2010-02-16,Sri Lanka,Myanmar,0.0,4.0,AFC Challenge Cup,Myanmar,Sri Lanka,906.0,1223.0
2010-02-16,Tajikistan,Bangladesh,1.0,2.0,AFC Challenge Cup,Bangladesh,Neutral,1254.0,956.0
2010-02-18,Bangladesh,Myanmar,1.0,2.0,AFC Challenge Cup,Myanmar,Neutral,956.0,1223.0
2010-02-18,Sri Lanka,Tajikistan,1.0,3.0,AFC Challenge Cup,Tajikistan,Sri Lanka,906.0,1254.0
2010-02-19,Kuwait,Syria,1.0,1.0,Friendly,Draw,Neutral,1548.0,1536.0
2010-02-20,Sri Lanka,Bangladesh,3.0,0.0,AFC Challenge Cup,Sri Lanka,Sri Lanka,906.0,956.0
2010-02-20,Tajikistan,Myanmar,3.0,0.0,AFC Challenge Cup,Tajikistan,Neutral,1254.0,1223.0
2010-02-21,Turkmenistan,Kyrgyzstan,1.0,0.0,AFC Challenge Cup,Turkmenistan,Neutral,1422.0,1140.0
2010-02-24,Mexico,Bolivia,5.0,0.0,Friendly,Mexico,Neutral,1846.0,1569.0
2010-02-24,Tajikistan,Turkmenistan,0.0,2.0,AFC Challenge Cup,Turkmenistan,Neutral,1254.0,1422.0
2010-02-24,United States,El Salvador,2.0,1.0,Friendly,United States,United States,1865.0,1484.0
2010-02-25,Jordan,Azerbaijan,0.0,2.0,Friendly,Azerbaijan,Jordan,1482.0,1427.0
2010-02-25,Kuwait,Bahrain,4.0,1.0,Friendly,Kuwait,Neutral,1548.0,1520.0
2010-02-27,Malaysia,Yemen,1.0,0.0,Friendly,Malaysia,Malaysia,1214.0,1253.0
2010-02-27,Tajikistan,Myanmar,1.0,0.0,AFC Challenge Cup,Tajikistan,Neutral,1254.0,1223.0
2010-03-03,Albania,Northern Ireland,1.0,0.0,Friendly,Albania,Albania,1544.0,1593.0
2010-03-03,Algeria,Serbia,0.0,3.0,Friendly,Serbia,Algeria,1399.0,1728.0
2010-03-03,Angola,Latvia,1.0,1.0,Friendly,Draw,Angola,1430.0,1545.0
2010-03-03,Armenia,Belarus,1.0,3.0,Friendly,Belarus,Neutral,1437.0,1632.0
2010-03-03,Australia,Indonesia,1.0,0.0,AFC Asian Cup qualification,Australia,Australia,1744.0,1257.0
2010-03-03,Austria,Denmark,2.0,1.0,Friendly,Austria,Austria,1608.0,1724.0
2010-03-03,Belgium,Croatia,0.0,1.0,Friendly,Croatia,Belgium,1598.0,1881.0
2010-03-03,Bosnia and Herzegovina,Ghana,2.0,1.0,Friendly,Bosnia and Herzegovina,Bosnia and Herzegovina,1612.0,1700.0
2010-03-03,Cyprus,Iceland,0.0,0.0,Friendly,Draw,Cyprus,1560.0,1444.0
2010-03-03,El Salvador,Guatemala,1.0,2.0,Friendly,Guatemala,Neutral,1484.0,1432.0
2010-03-03,England,Egypt,3.0,1.0,Friendly,England,England,1975.0,1754.0
2010-03-03,France,Spain,0.0,2.0,Friendly,Spain,France,2004.0,2139.0
2010-03-03,Georgia,Estonia,2.0,1.0,Friendly,Georgia,Georgia,1479.0,1514.0
2010-03-03,Germany,Argentina,0.0,1.0,Friendly,Argentina,Germany,2068.0,1979.0
2010-03-03,Greece,Senegal,0.0,2.0,Friendly,Senegal,Greece,1727.0,1601.0
2010-03-03,Hong Kong,Yemen,0.0,0.0,AFC Asian Cup qualification,Draw,Hong Kong,1232.0,1253.0
2010-03-03,Hungary,Russia,1.0,1.0,Friendly,Draw,Hungary,1605.0,1843.0
2010-03-03,Iran,Thailand,1.0,0.0,AFC Asian Cup qualification,Iran,Iran,1790.0,1452.0
2010-03-03,Italy,Cameroon,0.0,0.0,Friendly,Draw,Neutral,1835.0,1663.0
2010-03-03,Japan,Bahrain,2.0,0.0,AFC Asian Cup qualification,Japan,Japan,1785.0,1520.0
2010-03-03,Jordan,Singapore,2.0,1.0,AFC Asian Cup qualification,Jordan,Jordan,1482.0,1340.0
2010-03-03,Libya,Mali,2.0,1.0,Friendly,Libya,Libya,1535.0,1508.0
2010-03-03,Luxembourg,Azerbaijan,1.0,2.0,Friendly,Azerbaijan,Luxembourg,1108.0,1427.0
2010-03-03,North Macedonia,Montenegro,2.0,1.0,Friendly,North Macedonia,North Macedonia,1546.0,1697.0
2010-03-03,Malta,Finland,1.0,2.0,Friendly,Finland,Malta,1204.0,1677.0
2010-03-03,Mexico,New Zealand,2.0,0.0,Friendly,Mexico,Neutral,1846.0,1496.0
2010-03-03,Mozambique,Botswana,0.0,1.0,Friendly,Botswana,Mozambique,1277.0,1389.0
2010-03-03,Netherlands,United States,2.0,1.0,Friendly,Netherlands,Netherlands,2095.0,1865.0
2010-03-03,Oman,Kuwait,0.0,0.0,AFC Asian Cup qualification,Draw,Oman,1564.0,1548.0
2010-03-03,Poland,Bulgaria,2.0,0.0,Friendly,Poland,Poland,1653.0,1701.0
2010-03-03,Romania,Israel,0.0,2.0,Friendly,Israel,Romania,1908.0,1750.0
2010-03-03,Slovakia,Norway,0.0,1.0,Friendly,Norway,Slovakia,1671.0,1801.0
2010-03-03,Slovenia,Qatar,4.0,1.0,Friendly,Slovenia,Slovenia,1694.0,1523.0
2010-03-03,South Africa,Namibia,1.0,1.0,Friendly,Draw,South Africa,1632.0,1306.0
2010-03-03,Switzerland,Uruguay,1.0,3.0,Friendly,Uruguay,Switzerland,1743.0,1887.0
2010-03-03,Syria,Lebanon,4.0,0.0,AFC Asian Cup qualification,Syria,Syria,1536.0,1249.0
2010-03-03,Tanzania,Uganda,2.0,3.0,Friendly,Uganda,Tanzania,1360.0,1566.0
2010-03-03,Uzbekistan,United Arab Emirates,0.0,1.0,AFC Asian Cup qualification,United Arab Emirates,Uzbekistan,1555.0,1408.0
2010-03-03,Venezuela,Panama,1.0,2.0,Friendly,Panama,Venezuela,1665.0,1596.0
2010-03-03,Wales,Sweden,0.0,1.0,Friendly,Sweden,Wales,1564.0,1796.0
2010-03-03,Zimbabwe,Malawi,2.0,1.0,Friendly,Zimbabwe,Zimbabwe,1454.0,1379.0
2010-03-07,Niger,Benin,2.0,0.0,Friendly,Niger,Niger,1257.0,1382.0
2010-03-21,Iceland,Faroe Islands,2.0,0.0,Friendly,Iceland,Iceland,1444.0,1196.0
2010-03-21,Namibia,Botswana,0.0,0.0,Friendly,Draw,Namibia,1306.0,1389.0
2010-03-24,Mexico,Iceland,0.0,0.0,Friendly,Draw,Neutral,1846.0,1444.0
2010-03-31,Chile,Venezuela,0.0,0.0,Friendly,Draw,Chile,1803.0,1665.0
2010-03-31,Paraguay,South Africa,1.0,1.0,Friendly,Draw,Paraguay,1779.0,1632.0
2010-04-07,Japan,Serbia,0.0,3.0,Friendly,Serbia,Japan,1785.0,1728.0
2010-04-21,Honduras,Venezuela,0.0,1.0,Friendly,Venezuela,Honduras,1688.0,1665.0
2010-04-28,South Africa,Jamaica,2.0,0.0,Friendly,South Africa,Neutral,1632.0,1593.0
2010-05-05,Argentina,Haiti,4.0,0.0,Friendly,Argentina,Argentina,1979.0,1442.0
2010-05-05,Chile,Trinidad and Tobago,2.0,0.0,Friendly,Chile,Chile,1803.0,1579.0
2010-05-07,Mexico,Ecuador,0.0,0.0,Friendly,Draw,Neutral,1846.0,1715.0
2010-05-10,Mexico,Senegal,1.0,0.0,Friendly,Mexico,Neutral,1846.0,1601.0
2010-05-12,Yemen,Malawi,1.0,0.0,Friendly,Yemen,Yemen,1253.0,1379.0
2010-05-13,Germany,Malta,3.0,0.0,Friendly,Germany,Germany,2068.0,1204.0
