thread_id,estimate,error,start_time_us,end_time_us,duration_us
0,3.156,0.0144072,0,9968.64,9968.64
1,3.1576,0.0160072,0,9968.64,9968.64
2,3.1324,0.00919271,0,9968.64,9968.64
3,3.162,0.0204072,0,9968.64,9968.64
4,3.154,0.0124073,0,9968.64,9968.64
5,3.1448,0.00320721,0,9968.64,9968.64
6,3.1404,0.00119281,0,9968.64,9968.64
7,3.1244,0.0171928,0,9968.64,9968.64
8,3.14,0.00159264,0,9968.64,9968.64
9,3.128,0.0135927,0,9968.64,9968.64
10,3.1468,0.0052073,0,9968.64,9968.64
11,3.1088,0.0327928,0,9968.64,9968.64
12,3.1212,0.0203927,0,9968.64,9968.64
13,3.122,0.0195928,0,9968.64,9968.64
14,3.1328,0.00879264,0,9968.64,9968.64
15,3.0996,0.0419927,0,9968.64,9968.64
16,3.1208,0.0207927,0,9968.64,9968.64
17,3.1232,0.0183928,0,9968.64,9968.64
18,3.1648,0.0232072,0,9968.64,9968.64
19,3.1352,0.00639272,0,9968.64,9968.64
20,3.1484,0.00680733,0,9968.64,9968.64
21,3.1404,0.00119281,0,9968.64,9968.64
22,3.1324,0.00919271,0,9968.64,9968.64
23,3.1512,0.00960732,0,9968.64,9968.64
24,3.1424,0.000807285,0,9968.64,9968.64
25,3.1472,0.00560737,0,9968.64,9968.64
26,3.1496,0.00800729,0,9968.64,9968.64
27,3.1216,0.0199928,0,9968.64,9968.64
28,3.1016,0.0399928,0,9968.64,9968.64
29,3.1292,0.0123928,0,9968.64,9968.64
30,3.1528,0.0112073,0,9968.64,9968.64
31,3.1596,0.0180073,0,9968.64,9968.64
32,3.1464,0.00480723,0,9966.59,9966.59
33,3.1344,0.00719285,0,9966.59,9966.59
34,3.138,0.00359273,0,9966.59,9966.59
35,3.1596,0.0180073,0,9966.59,9966.59
36,3.1532,0.0116072,0,9966.59,9966.59
37,3.1564,0.0148072,0,9966.59,9966.59
38,3.1476,0.00600719,0,9966.59,9966.59
39,3.1208,0.0207927,0,9966.59,9966.59
40,3.1448,0.00320721,0,9966.59,9966.59
41,3.1516,0.0100071,0,9966.59,9966.59
42,3.1428,0.00120735,0,9966.59,9966.59
43,3.1364,0.00519276,0,9966.59,9966.59
44,3.1356,0.00599265,0,9966.59,9966.59
45,3.1232,0.0183928,0,9966.59,9966.59
46,3.144,0.00240731,0,9966.59,9966.59
47,3.1392,0.00239277,0,9966.59,9966.59
48,3.1412,0.000392675,0,9966.59,9966.59
49,3.1356,0.00599265,0,9966.59,9966.59
50,3.1596,0.0180073,0,9966.59,9966.59
51,3.1368,0.00479269,0,9966.59,9966.59
52,3.1456,0.00400734,0,9966.59,9966.59
53,3.1544,0.0128074,0,9966.59,9966.59
54,3.152,0.0104072,0,9966.59,9966.59
55,3.1448,0.00320721,0,9966.59,9966.59
56,3.1328,0.00879264,0,9966.59,9966.59
57,3.1284,0.0131927,0,9966.59,9966.59
58,3.1552,0.0136073,0,9966.59,9966.59
59,3.126,0.0155928,0,9966.59,9966.59
60,3.1272,0.0143929,0,9966.59,9966.59
61,3.178,0.0364072,0,9966.59,9966.59
62,3.1328,0.00879264,0,9966.59,9966.59
63,3.1364,0.00519276,0,9966.59,9966.59
64,3.1576,0.0160072,0,9965.57,9965.57
65,3.1468,0.0052073,0,9965.57,9965.57
66,3.1412,0.000392675,0,9965.57,9965.57
67,3.1608,0.0192072,0,9965.57,9965.57
68,3.1384,0.00319266,0,9965.57,9965.57
69,3.1432,0.00160718,0,9965.57,9965.57
70,3.1568,0.0152073,0,9965.57,9965.57
71,3.1816,0.0400074,0,9965.57,9965.57
72,3.1376,0.0039928,0,9965.57,9965.57
73,3.1464,0.00480723,0,9965.57,9965.57
74,3.1588,0.0172071,0,9965.57,9965.57
75,3.0964,0.0451927,0,9965.57,9965.57
76,3.1516,0.0100071,0,9965.57,9965.57
77,3.1336,0.00799274,0,9965.57,9965.57
78,3.132,0.00959277,0,9965.57,9965.57
79,3.1392,0.00239277,0,9965.57,9965.57
80,3.116,0.0255928,0,9965.57,9965.57
81,3.14,0.00159264,0,9965.57,9965.57
82,3.148,0.00640726,0,9965.57,9965.57
83,3.0924,0.0491927,0,9965.57,9965.57
84,3.132,0.00959277,0,9965.57,9965.57
85,3.1208,0.0207927,0,9965.57,9965.57
86,3.1668,0.0252073,0,9965.57,9965.57
87,3.1692,0.0276072,0,9965.57,9965.57
88,3.1548,0.0132072,0,9965.57,9965.57
89,3.1388,0.00279284,0,9965.57,9965.57
90,3.1136,0.0279927,0,9965.57,9965.57
91,3.1148,0.0267928,0,9965.57,9965.57
92,3.158,0.0164073,0,9965.57,9965.57
93,3.138,0.00359273,0,9965.57,9965.57
94,3.1788,0.0372074,0,9965.57,9965.57
95,3.1596,0.0180073,0,9965.57,9965.57
96,3.1264,0.0151927,0,9966.59,9966.59
97,3.1612,0.0196073,0,9966.59,9966.59
98,3.1332,0.00839281,0,9966.59,9966.59
99,3.16,0.0184073,0,9966.59,9966.59
100,3.1072,0.0343928,0,9966.59,9966.59
101,3.1424,0.000807285,0,9966.59,9966.59
102,3.1388,0.00279284,0,9966.59,9966.59
103,3.148,0.00640726,0,9966.59,9966.59
104,3.1364,0.00519276,0,9966.59,9966.59
105,3.164,0.0224073,0,9966.59,9966.59
106,3.132,0.00959277,0,9966.59,9966.59
107,3.1116,0.0299928,0,9966.59,9966.59
108,3.144,0.00240731,0,9966.59,9966.59
109,3.1664,0.0248072,0,9966.59,9966.59
110,3.1208,0.0207927,0,9966.59,9966.59
111,3.146,0.00440717,0,9966.59,9966.59
112,3.1284,0.0131927,0,9966.59,9966.59
113,3.1312,0.0103927,0,9966.59,9966.59
114,3.1248,0.0167928,0,9966.59,9966.59
115,3.1504,0.00880718,0,9966.59,9966.59
116,3.1544,0.0128074,0,9966.59,9966.59
117,3.1608,0.0192072,0,9966.59,9966.59
118,3.1396,0.0019927,0,9966.59,9966.59
119,3.1572,0.0156074,0,9966.59,9966.59
120,3.1564,0.0148072,0,9966.59,9966.59
121,3.1464,0.00480723,0,9966.59,9966.59
122,3.1596,0.0180073,0,9966.59,9966.59
123,3.124,0.0175927,0,9966.59,9966.59
124,3.1436,0.00200725,0,9966.59,9966.59
125,3.1236,0.0179927,0,9966.59,9966.59
126,3.1392,0.00239277,0,9966.59,9966.59
127,3.1232,0.0183928,0,9966.59,9966.59
128,3.1356,0.00599265,0,9932.8,9932.8
129,3.1104,0.0311928,0,9932.8,9932.8
130,3.152,0.0104072,0,9932.8,9932.8
131,3.124,0.0175927,0,9932.8,9932.8
132,3.1448,0.00320721,0,9932.8,9932.8
133,3.1144,0.0271928,0,9932.8,9932.8
134,3.134,0.00759268,0,9932.8,9932.8
135,3.1512,0.00960732,0,9932.8,9932.8
136,3.1508,0.00920725,0,9932.8,9932.8
137,3.1572,0.0156074,0,9932.8,9932.8
138,3.1568,0.0152073,0,9932.8,9932.8
139,3.18,0.0384073,0,9932.8,9932.8
140,3.1688,0.0272074,0,9932.8,9932.8
141,3.1188,0.0227928,0,9932.8,9932.8
142,3.1452,0.00360727,0,9932.8,9932.8
143,3.1352,0.00639272,0,9932.8,9932.8
144,3.1208,0.0207927,0,9932.8,9932.8
145,3.1312,0.0103927,0,9932.8,9932.8
146,3.1284,0.0131927,0,9932.8,9932.8
147,3.1492,0.00760722,0,9932.8,9932.8
148,3.156,0.0144072,0,9932.8,9932.8
149,3.1312,0.0103927,0,9932.8,9932.8
150,3.1628,0.0212073,0,9932.8,9932.8
151,3.1384,0.00319266,0,9932.8,9932.8
152,3.15,0.00840735,0,9932.8,9932.8
153,3.1304,0.0111928,0,9932.8,9932.8
154,3.1556,0.0140073,0,9932.8,9932.8
155,3.1332,0.00839281,0,9932.8,9932.8
156,3.1028,0.0387928,0,9932.8,9932.8
157,3.168,0.0264072,0,9932.8,9932.8
158,3.1476,0.00600719,0,9932.8,9932.8
159,3.1488,0.00720716,0,9932.8,9932.8
160,3.1256,0.0159926,0,9933.82,9933.82
161,3.1228,0.0187926,0,9933.82,9933.82
162,3.1512,0.00960732,0,9933.82,9933.82
163,3.144,0.00240731,0,9933.82,9933.82
164,3.1248,0.0167928,0,9933.82,9933.82
165,3.116,0.0255928,0,9933.82,9933.82
166,3.1232,0.0183928,0,9933.82,9933.82
167,3.1408,0.000792742,0,9933.82,9933.82
168,3.1176,0.0239928,0,9933.82,9933.82
169,3.1492,0.00760722,0,9933.82,9933.82
170,3.138,0.00359273,0,9933.82,9933.82
171,3.128,0.0135927,0,9933.82,9933.82
172,3.1412,0.000392675,0,9933.82,9933.82
173,3.1448,0.00320721,0,9933.82,9933.82
174,3.166,0.0244071,0,9933.82,9933.82
175,3.1492,0.00760722,0,9933.82,9933.82
176,3.1208,0.0207927,0,9933.82,9933.82
177,3.1524,0.0108073,0,9933.82,9933.82
178,3.1284,0.0131927,0,9933.82,9933.82
179,3.1596,0.0180073,0,9933.82,9933.82
180,3.1452,0.00360727,0,9933.82,9933.82
181,3.1344,0.00719285,0,9933.82,9933.82
182,3.126,0.0155928,0,9933.82,9933.82
183,3.1588,0.0172071,0,9933.82,9933.82
184,3.134,0.00759268,0,9933.82,9933.82
185,3.1152,0.0263927,0,9933.82,9933.82
186,3.1448,0.00320721,0,9933.82,9933.82
187,3.1324,0.00919271,0,9933.82,9933.82
188,3.1196,0.0219927,0,9933.82,9933.82
189,3.1332,0.00839281,0,9933.82,9933.82
190,3.1608,0.0192072,0,9933.82,9933.82
191,3.118,0.0235927,0,9933.82,9933.82
192,3.1468,0.0052073,0,9934.85,9934.85
193,3.1452,0.00360727,0,9934.85,9934.85
194,3.1148,0.0267928,0,9934.85,9934.85
195,3.1264,0.0151927,0,9934.85,9934.85
196,3.1576,0.0160072,0,9934.85,9934.85
197,3.1116,0.0299928,0,9934.85,9934.85
198,3.1408,0.000792742,0,9934.85,9934.85
199,3.16,0.0184073,0,9934.85,9934.85
200,3.1572,0.0156074,0,9934.85,9934.85
201,3.1248,0.0167928,0,9934.85,9934.85
202,3.1568,0.0152073,0,9934.85,9934.85
203,3.1976,0.0560071,0,9934.85,9934.85
204,3.0996,0.0419927,0,9934.85,9934.85
205,3.1572,0.0156074,0,9934.85,9934.85
206,3.178,0.0364072,0,9934.85,9934.85
207,3.1456,0.00400734,0,9934.85,9934.85
208,3.124,0.0175927,0,9934.85,9934.85
209,3.1248,0.0167928,0,9934.85,9934.85
210,3.1408,0.000792742,0,9934.85,9934.85
211,3.13,0.0115926,0,9934.85,9934.85
212,3.1556,0.0140073,0,9934.85,9934.85
213,3.154,0.0124073,0,9934.85,9934.85
214,3.1592,0.0176072,0,9934.85,9934.85
215,3.1412,0.000392675,0,9934.85,9934.85
216,3.1152,0.0263927,0,9934.85,9934.85
217,3.1384,0.00319266,0,9934.85,9934.85
218,3.1476,0.00600719,0,9934.85,9934.85
219,3.1384,0.00319266,0,9934.85,9934.85
220,3.144,0.00240731,0,9934.85,9934.85
221,3.1336,0.00799274,0,9934.85,9934.85
222,3.1504,0.00880718,0,9934.85,9934.85
223,3.148,0.00640726,0,9934.85,9934.85
224,3.1268,0.0147927,0,9933.82,9933.82
