thread_id,estimate,error,time_us
0,3.156,0.0144072,3980.29
1,3.1576,0.0160072,3980.29
2,3.1324,0.00919271,3980.29
3,3.162,0.0204072,3980.29
4,3.154,0.0124073,3980.29
5,3.1448,0.00320721,3980.29
6,3.1404,0.00119281,3980.29
7,3.1244,0.0171928,3980.29
8,3.14,0.00159264,3980.29
9,3.128,0.0135927,3980.29
10,3.1468,0.0052073,3980.29
11,3.1088,0.0327928,3980.29
12,3.1212,0.0203927,3980.29
13,3.122,0.0195928,3980.29
14,3.1328,0.00879264,3980.29
15,3.0996,0.0419927,3980.29
16,3.1208,0.0207927,3980.29
17,3.1232,0.0183928,3980.29
18,3.1648,0.0232072,3980.29
19,3.1352,0.00639272,3980.29
20,3.1484,0.00680733,3980.29
21,3.1404,0.00119281,3980.29
22,3.1324,0.00919271,3980.29
23,3.1512,0.00960732,3980.29
24,3.1424,0.000807285,3980.29
25,3.1472,0.00560737,3980.29
26,3.1496,0.00800729,3980.29
27,3.1216,0.0199928,3980.29
28,3.1016,0.0399928,3980.29
29,3.1292,0.0123928,3980.29
30,3.1528,0.0112073,3980.29
31,3.1596,0.0180073,3980.29
32,3.1464,0.00480723,3979.26
33,3.1344,0.00719285,3979.26
34,3.138,0.00359273,3979.26
35,3.1596,0.0180073,3979.26
36,3.1532,0.0116072,3979.26
37,3.1564,0.0148072,3979.26
38,3.1476,0.00600719,3979.26
39,3.1208,0.0207927,3979.26
40,3.1448,0.00320721,3979.26
41,3.1516,0.0100071,3979.26
42,3.1428,0.00120735,3979.26
43,3.1364,0.00519276,3979.26
44,3.1356,0.00599265,3979.26
45,3.1232,0.0183928,3979.26
46,3.144,0.00240731,3979.26
47,3.1392,0.00239277,3979.26
48,3.1412,0.000392675,3979.26
49,3.1356,0.00599265,3979.26
50,3.1596,0.0180073,3979.26
51,3.1368,0.00479269,3979.26
52,3.1456,0.00400734,3979.26
53,3.1544,0.0128074,3979.26
54,3.152,0.0104072,3979.26
55,3.1448,0.00320721,3979.26
56,3.1328,0.00879264,3979.26
57,3.1284,0.0131927,3979.26
58,3.1552,0.0136073,3979.26
59,3.126,0.0155928,3979.26
60,3.1272,0.0143929,3979.26
61,3.178,0.0364072,3979.26
62,3.1328,0.00879264,3979.26
63,3.1364,0.00519276,3979.26
64,3.1576,0.0160072,3980.29
65,3.1468,0.0052073,3980.29
66,3.1412,0.000392675,3980.29
67,3.1608,0.0192072,3980.29
68,3.1384,0.00319266,3980.29
69,3.1432,0.00160718,3980.29
70,3.1568,0.0152073,3980.29
71,3.1816,0.0400074,3980.29
72,3.1376,0.0039928,3980.29
73,3.1464,0.00480723,3980.29
74,3.1588,0.0172071,3980.29
75,3.0964,0.0451927,3980.29
76,3.1516,0.0100071,3980.29
77,3.1336,0.00799274,3980.29
78,3.132,0.00959277,3980.29
79,3.1392,0.00239277,3980.29
80,3.116,0.0255928,3980.29
81,3.14,0.00159264,3980.29
82,3.148,0.00640726,3980.29
83,3.0924,0.0491927,3980.29
84,3.132,0.00959277,3980.29
85,3.1208,0.0207927,3980.29
86,3.1668,0.0252073,3980.29
87,3.1692,0.0276072,3980.29
88,3.1548,0.0132072,3980.29
89,3.1388,0.00279284,3980.29
90,3.1136,0.0279927,3980.29
91,3.1148,0.0267928,3980.29
92,3.158,0.0164073,3980.29
93,3.138,0.00359273,3980.29
94,3.1788,0.0372074,3980.29
95,3.1596,0.0180073,3980.29
96,3.1264,0.0151927,3981.31
97,3.1612,0.0196073,3981.31
98,3.1332,0.00839281,3981.31
99,3.16,0.0184073,3981.31
100,3.1072,0.0343928,3981.31
101,3.1424,0.000807285,3981.31
102,3.1388,0.00279284,3981.31
103,3.148,0.00640726,3981.31
104,3.1364,0.00519276,3981.31
105,3.164,0.0224073,3981.31
106,3.132,0.00959277,3981.31
107,3.1116,0.0299928,3981.31
108,3.144,0.00240731,3981.31
109,3.1664,0.0248072,3981.31
110,3.1208,0.0207927,3981.31
111,3.146,0.00440717,3981.31
112,3.1284,0.0131927,3981.31
113,3.1312,0.0103927,3981.31
114,3.1248,0.0167928,3981.31
115,3.1504,0.00880718,3981.31
116,3.1544,0.0128074,3981.31
117,3.1608,0.0192072,3981.31
118,3.1396,0.0019927,3981.31
119,3.1572,0.0156074,3981.31
120,3.1564,0.0148072,3981.31
121,3.1464,0.00480723,3981.31
122,3.1596,0.0180073,3981.31
123,3.124,0.0175927,3981.31
124,3.1436,0.00200725,3981.31
125,3.1236,0.0179927,3981.31
126,3.1392,0.00239277,3981.31
127,3.1232,0.0183928,3981.31
128,3.1356,0.00599265,3941.38
129,3.1104,0.0311928,3941.38
130,3.152,0.0104072,3941.38
131,3.124,0.0175927,3941.38
132,3.1448,0.00320721,3941.38
133,3.1144,0.0271928,3941.38
134,3.134,0.00759268,3941.38
135,3.1512,0.00960732,3941.38
136,3.1508,0.00920725,3941.38
137,3.1572,0.0156074,3941.38
138,3.1568,0.0152073,3941.38
139,3.18,0.0384073,3941.38
140,3.1688,0.0272074,3941.38
141,3.1188,0.0227928,3941.38
142,3.1452,0.00360727,3941.38
143,3.1352,0.00639272,3941.38
144,3.1208,0.0207927,3941.38
145,3.1312,0.0103927,3941.38
146,3.1284,0.0131927,3941.38
147,3.1492,0.00760722,3941.38
148,3.156,0.0144072,3941.38
149,3.1312,0.0103927,3941.38
150,3.1628,0.0212073,3941.38
151,3.1384,0.00319266,3941.38
152,3.15,0.00840735,3941.38
153,3.1304,0.0111928,3941.38
154,3.1556,0.0140073,3941.38
155,3.1332,0.00839281,3941.38
156,3.1028,0.0387928,3941.38
157,3.168,0.0264072,3941.38
158,3.1476,0.00600719,3941.38
159,3.1488,0.00720716,3941.38
160,3.1256,0.0159926,3942.4
161,3.1228,0.0187926,3942.4
162,3.1512,0.00960732,3942.4
163,3.144,0.00240731,3942.4
164,3.1248,0.0167928,3942.4
165,3.116,0.0255928,3942.4
166,3.1232,0.0183928,3942.4
167,3.1408,0.000792742,3942.4
168,3.1176,0.0239928,3942.4
169,3.1492,0.00760722,3942.4
170,3.138,0.00359273,3942.4
171,3.128,0.0135927,3942.4
172,3.1412,0.000392675,3942.4
173,3.1448,0.00320721,3942.4
174,3.166,0.0244071,3942.4
175,3.1492,0.00760722,3942.4
176,3.1208,0.0207927,3942.4
177,3.1524,0.0108073,3942.4
178,3.1284,0.0131927,3942.4
179,3.1596,0.0180073,3942.4
180,3.1452,0.00360727,3942.4
181,3.1344,0.00719285,3942.4
182,3.126,0.0155928,3942.4
183,3.1588,0.0172071,3942.4
184,3.134,0.00759268,3942.4
185,3.1152,0.0263927,3942.4
186,3.1448,0.00320721,3942.4
187,3.1324,0.00919271,3942.4
188,3.1196,0.0219927,3942.4
189,3.1332,0.00839281,3942.4
190,3.1608,0.0192072,3942.4
191,3.118,0.0235927,3942.4
192,3.1468,0.0052073,3941.38
193,3.1452,0.00360727,3941.38
194,3.1148,0.0267928,3941.38
195,3.1264,0.0151927,3941.38
196,3.1576,0.0160072,3941.38
197,3.1116,0.0299928,3941.38
198,3.1408,0.000792742,3941.38
199,3.16,0.0184073,3941.38
200,3.1572,0.0156074,3941.38
201,3.1248,0.0167928,3941.38
202,3.1568,0.0152073,3941.38
203,3.1976,0.0560071,3941.38
204,3.0996,0.0419927,3941.38
205,3.1572,0.0156074,3941.38
206,3.178,0.0364072,3941.38
207,3.1456,0.00400734,3941.38
208,3.124,0.0175927,3941.38
209,3.1248,0.0167928,3941.38
210,3.1408,0.000792742,3941.38
211,3.13,0.0115926,3941.38
212,3.1556,0.0140073,3941.38
213,3.154,0.0124073,3941.38
214,3.1592,0.0176072,3941.38
215,3.1412,0.000392675,3941.38
216,3.1152,0.0263927,3941.38
217,3.1384,0.00319266,3941.38
218,3.1476,0.00600719,3941.38
219,3.1384,0.00319266,3941.38
220,3.144,0.00240731,3941.38
221,3.1336,0.00799274,3941.38
222,3.1504,0.00880718,3941.38
223,3.148,0.00640726,3941.38
224,3.1268,0.0147927,3943.42
225,3.1044,0.0371928,3943.42
226,3.1736,0.0320072,3943.42
227,3.1288,0.0127928,3943.42
228,3.1616,0.0200074,3943.42
229,3.1508,0.00920725,3943.42
230,3.124,0.0175927,3943.42
231,3.1528,0.0112073,3943.42
232,3.1396,0.0019927,3943.42
233,3.1344,0.00719285,3943.42
234,3.154,0.0124073,3943.42
235,3.144,0.00240731,3943.42
236,3.1268,0.0147927,3943.42
237,3.1148,0.0267928,3943.42
238,3.138,0.00359273,3943.42
239,3.1276,0.0139928,3943.42
240,3.142,0.000407219,3943.42
241,3.1256,0.0159926,3943.42
242,3.1336,0.00799274,3943.42
243,3.1148,0.0267928,3943.42
244,3.1416,7.15256e-06,3943.42
245,3.12,0.0215929,3943.42
246,3.172,0.0304072,3943.42
247,3.1432,0.00160718,3943.42
248,3.124,0.0175927,3943.42
249,3.14,0.00159264,3943.42
250,3.1428,0.00120735,3943.42
251,3.11,0.0315928,3943.42
252,3.1624,0.0208073,3943.42
253,3.1672,0.0256073,3943.42
254,3.132,0.00959277,3943.42
255,3.1296,0.0119927,3943.42
256,3.1328,0.00879264,4493.31
257,3.1352,0.00639272,4493.31
258,3.1476,0.00600719,4493.31
259,3.1496,0.00800729,4493.31
260,3.1544,0.0128074,4493.31
261,3.1636,0.0220072,4493.31
262,3.138,0.00359273,4493.31
263,3.142,0.000407219,4493.31
264,3.1368,0.00479269,4493.31
265,3.1304,0.0111928,4493.31
266,3.1496,0.00800729,4493.31
267,3.1316,0.00999284,4493.31
268,3.1348,0.00679278,4493.31
269,3.1428,0.00120735,4493.31
270,3.1392,0.00239277,4493.31
271,3.142,0.000407219,4493.31
272,3.1096,0.0319927,4493.31
273,3.1632,0.0216072,4493.31
274,3.1392,0.00239277,4493.31
275,3.144,0.00240731,4493.31
276,3.1888,0.0472074,4493.31
277,3.1436,0.00200725,4493.31
278,3.1996,0.0580072,4493.31
279,3.1356,0.00599265,4493.31
280,3.144,0.00240731,4493.31
281,3.1504,0.00880718,4493.31
282,3.1168,0.0247927,4493.31
283,3.12,0.0215929,4493.31
284,3.132,0.00959277,4493.31
285,3.1592,0.0176072,4493.31
286,3.1076,0.0339928,4493.31
287,3.1272,0.0143929,4493.31
288,3.1548,0.0132072,4492.29
289,3.15,0.00840735,4492.29
290,3.1524,0.0108073,4492.29
291,3.1476,0.00600719,4492.29
292,3.164,0.0224073,4492.29
293,3.1404,0.00119281,4492.29
294,3.1248,0.0167928,4492.29
295,3.1296,0.0119927,4492.29
296,3.1376,0.0039928,4492.29
297,3.1324,0.00919271,4492.29
298,3.1496,0.00800729,4492.29
299,3.1496,0.00800729,4492.29
300,3.1524,0.0108073,4492.29
301,3.1456,0.00400734,4492.29
302,3.1432,0.00160718,4492.29
303,3.1252,0.0163927,4492.29
304,3.1292,0.0123928,4492.29
305,3.1428,0.00120735,4492.29
306,3.134,0.00759268,4492.29
307,3.1636,0.0220072,4492.29
308,3.134,0.00759268,4492.29
309,3.1536,0.0120072,4492.29
310,3.162,0.0204072,4492.29
311,3.1484,0.00680733,4492.29
312,3.1216,0.0199928,4492.29
313,3.146,0.00440717,4492.29
314,3.1328,0.00879264,4492.29
315,3.1444,0.00280714,4492.29
316,3.1736,0.0320072,4492.29
317,3.1384,0.00319266,4492.29
318,3.148,0.00640726,4492.29
319,3.1428,0.00120735,4492.29
320,3.1256,0.0159926,4492.29
321,3.1124,0.0291927,4492.29
322,3.1344,0.00719285,4492.29
323,3.1284,0.0131927,4492.29
324,3.1448,0.00320721,4492.29
325,3.124,0.0175927,4492.29
326,3.1328,0.00879264,4492.29
327,3.146,0.00440717,4492.29
328,3.116,0.0255928,4492.29
329,3.148,0.00640726,4492.29
330,3.164,0.0224073,4492.29
331,3.1368,0.00479269,4492.29
332,3.14,0.00159264,4492.29
333,3.1324,0.00919271,4492.29
334,3.1528,0.0112073,4492.29
335,3.1296,0.0119927,4492.29
336,3.1448,0.00320721,4492.29
337,3.1612,0.0196073,4492.29
338,3.1604,0.0188072,4492.29
339,3.1164,0.0251927,4492.29
340,3.1512,0.00960732,4492.29
341,3.1432,0.00160718,4492.29
342,3.1548,0.0132072,4492.29
343,3.142,0.000407219,4492.29
344,3.1356,0.00599265,4492.29
345,3.1328,0.00879264,4492.29
346,3.1392,0.00239277,4492.29
347,3.1204,0.0211928,4492.29
348,3.1288,0.0127928,4492.29
349,3.1484,0.00680733,4492.29
350,3.1468,0.0052073,4492.29
351,3.13,0.0115926,4492.29
352,3.1512,0.00960732,4489.22
353,3.138,0.00359273,4489.22
354,3.1464,0.00480723,4489.22
355,3.1476,0.00600719,4489.22
356,3.14,0.00159264,4489.22
357,3.16,0.0184073,4489.22
358,3.1024,0.0391927,4489.22
359,3.1664,0.0248072,4489.22
360,3.142,0.000407219,4489.22
361,3.132,0.00959277,4489.22
362,3.15,0.00840735,4489.22
